,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,playa vicente,MX,17.8333,-95.8167,89.64,51,100,2.26,1621210423
1,kalmunai,LK,7.4167,81.8167,80.71,80,29,3.06,1621210704
2,grand river south east,MU,,,,,,,
3,rikitea,PF,-23.1203,-134.9692,75.07,59,100,9.62,1621210704
4,linxia,CN,35.6003,103.2064,52.63,42,100,1.32,1621210705
5,thompson,CA,55.7435,-97.8558,37.4,65,75,16.11,1621210514
6,punta arenas,CL,-53.15,-70.9167,44.6,87,90,16.11,1621210705
7,alice springs,AU,-23.7,133.8833,50,50,0,5.75,1621210706
8,college,US,64.8569,-147.8028,55.4,76,75,10.36,1621210492
9,albany,AU,-35.0169,117.8917,64.4,55,40,14.97,1621210706
10,saleaula,WS,,,,,,,
11,bolshiye klyuchishchi,RU,,,,,,,
12,butaritari,KI,3.0707,172.7902,83.01,78,100,13.62,1621210707
13,mahebourg,MU,-20.4081,57.7,77,73,75,13.8,1621210708
14,dhidhdhoo,MV,6.8833,73.1,84.27,74,83,18.25,1621210708
15,ushuaia,AR,-54.8,-68.3,42.8,75,20,11.5,1621210709
16,la ronge,CA,55.1001,-105.2842,55.4,38,96,5.75,1621210709
17,nikolskoye,RU,59.7035,30.7861,50,87,18,2.24,1621210710
18,saint-philippe,RE,-21.3585,55.7679,75.2,56,20,6.91,1621210710
19,yulara,AU,-25.2406,130.9889,50,57,1,12.66,1621210710
20,severo-kurilsk,RU,50.6789,156.125,38.08,95,100,18.25,1621210711
21,mar del plata,AR,-38.0023,-57.5575,55.99,82,40,4.61,1621210500
22,kermen,BG,42.5,26.25,53.6,94,40,4.25,1621210711
23,puerto ayora,EC,-0.7393,-90.3518,75.99,93,40,8.01,1621210712
24,marawi,SD,18.4833,31.8167,84.45,4,0,8.32,1621210712
25,vaini,TO,-21.2,-175.2,82.4,83,40,8.05,1621210713
26,avarua,CK,-21.2078,-159.775,80.6,69,40,8.05,1621210713
27,east london,ZA,-33.0153,27.9116,59,60,38,14.76,1621210714
28,flinders,AU,-34.5833,150.8552,63,54,5,4,1621210714
29,sur,OM,22.5667,59.5289,86.13,43,12,8.57,1621210714
30,bethel,US,41.3712,-73.414,60.01,82,1,3.02,1621210715
31,zhigansk,RU,66.7697,123.3711,47.03,77,100,4.27,1621210715
32,port alfred,ZA,-33.5906,26.891,57.45,70,12,16.64,1621210621
33,longyearbyen,SJ,78.2186,15.6401,24.8,63,20,3.44,1621210716
34,kapaa,US,22.0752,-159.319,82.4,57,20,19.57,1621210716
35,kruisfontein,ZA,-34.0033,24.7314,50,79,1,10.22,1621210717
36,cape town,ZA,-33.9258,18.4232,53.01,93,20,6.91,1621210708
37,dikson,RU,73.5069,80.5464,25.86,82,100,12.21,1621210718
38,hilo,US,19.7297,-155.09,87.8,45,40,13.8,1621210718
39,mazagao,BR,-0.115,-51.2894,78.8,100,75,2.3,1621210719
40,attawapiskat,CA,,,,,,,
41,horadiz,AZ,39.4488,47.3353,59,100,90,6.91,1621210719
42,cabo san lucas,MX,22.8909,-109.9124,87.8,30,1,3.44,1621210720
43,rundu,NA,-17.9333,19.7667,57.99,43,4,2.93,1621210720
44,sentyabrskiy,RU,,,,,,,
45,ilhabela,BR,-23.7781,-45.3581,69.84,86,30,4.92,1621210721
46,sao joao da barra,BR,-21.6403,-41.0511,71.38,75,12,8.59,1621210721
47,tuktoyaktuk,CA,69.4541,-133.0374,35.6,75,20,13.8,1621210721
48,namibe,AO,-15.1961,12.1522,73.47,59,0,5.66,1621210722
49,sao filipe,CV,14.8961,-24.4956,75.2,63,65,5.82,1621210722
50,taolanaro,MG,,,,,,,
51,hithadhoo,MV,-0.6,73.0833,84.29,71,77,11.21,1621210723
52,ranong,TH,9.9658,98.6348,78.8,100,20,1.54,1621210723
53,mandalgovi,MN,45.7625,106.2708,57.6,27,0,10.51,1621210724
54,busselton,AU,-33.65,115.3333,64.99,61,100,1.99,1621210724
55,nakambala,ZM,-15.8324,27.7799,59.88,46,9,2.82,1621210725
56,carnarvon,AU,-24.8667,113.6333,68,88,100,5.75,1621210785
57,victoria,SC,-4.6167,55.45,80.6,83,40,4.61,1621210785
58,hermanus,ZA,-34.4187,19.2345,46.99,95,15,5.91,1621210786
59,mirnyy,RU,62.5353,113.9611,25.32,53,98,13.09,1621210786
60,alotau,PG,,,,,,,
61,syracuse,IT,37.0881,15.2792,64,71,0,6.91,1621210651
62,amga,RU,60.8953,131.9608,44.92,53,100,11.12,1621210787
63,harper,LR,4.375,-7.7169,79.66,83,97,7.49,1621210788
64,nizhneyansk,RU,,,,,,,
65,tasiilaq,GL,65.6145,-37.6368,32,55,9,2.68,1621210788
66,leningradskiy,RU,69.3833,178.4167,31.75,90,91,11.48,1621210789
67,alofi,NU,-19.0595,-169.9187,82.4,78,4,13.8,1621210789
68,port-gentil,GA,-0.7193,8.7815,77,100,40,5.75,1621210789
69,porto novo,CV,17.0197,-25.0647,71.6,78,40,11.5,1621210790
70,tura,RU,64.2833,100.25,24.28,50,10,6.15,1621210790
71,damaturu,NG,11.747,11.9608,88.65,41,31,13.15,1621210791
72,mitsamiouli,KM,-11.3847,43.2844,79.95,73,13,3.36,1621210791
73,katsuura,JP,35.1333,140.3,73.4,88,75,17.27,1621210792
74,nanortalik,GL,60.1432,-45.2371,36.3,79,100,5.03,1621210792
75,kaitangata,NZ,-46.2817,169.8464,55,48,43,5.26,1621210792
76,phuket,TH,8,98.25,86,100,20,1.14,1621210793
77,sisimiut,GL,66.9395,-53.6735,34.45,80,31,3.18,1621210793
78,barentsburg,SJ,,,,,,,
79,concepcion del oro,MX,24.6333,-101.4167,77.43,21,71,12.93,1621210794
80,bredasdorp,ZA,-34.5322,20.0403,53.6,82,8,3.44,1621210794
81,kupang,ID,-10.1667,123.5833,82.4,69,20,12.66,1621210795
82,poso,ID,-1.3959,120.7524,82.67,75,71,3.27,1621210795
83,kirovsk,RU,67.6148,33.6727,42.01,100,100,3.13,1621210796
84,cherskiy,RU,68.75,161.3,41.05,63,75,11.63,1621210796
85,carutapera,BR,-1.195,-46.02,75.24,94,39,5.21,1621210796
86,chimbote,PE,-9.0853,-78.5783,64.56,88,71,6.62,1621210797
87,iqaluit,CA,63.7506,-68.5145,26.01,80,20,13.8,1621210797
88,sola,VU,-13.8833,167.55,87.8,70,75,5.75,1621210798
89,upernavik,GL,72.7868,-56.1549,30.96,90,100,7.34,1621210798
90,zhezkazgan,KZ,47.8043,67.7144,62.76,59,44,8.59,1621210798
91,bolungarvik,IS,,,,,,,
92,menongue,AO,-14.6585,17.691,56.37,56,1,2.71,1621210799
93,ilulissat,GL,69.2167,-51.1,33.8,80,40,4.61,1621210800
94,tres lagoas,BR,-20.7511,-51.6783,73.09,45,62,6.53,1621210800
95,pangnirtung,CA,66.1451,-65.7125,28.42,96,100,2.55,1621210800
96,khormuj,IR,,,,,,,
97,makhinjauri,GE,41.6739,41.694,53.6,76,0,8.05,1621210801
98,qeshm,IR,26.9581,56.2719,84.2,74,0,6.91,1621210509
99,bobrovytsya,UA,50.75,31.3833,62.01,72,0,4.47,1621210804
100,sukumo,JP,32.9333,132.7333,73.17,96,99,10.42,1621210805
101,khatanga,RU,71.9667,102.5,15.8,94,97,6.38,1621210805
102,belushya guba,RU,,,,,,,
103,tsihombe,MG,,,,,,,
104,lompoc,US,34.6391,-120.4579,61,67,11,11.5,1621210806
105,amderma,RU,,,,,,,
106,arraial do cabo,BR,-22.9661,-42.0278,71.67,76,0,14.9,1621210807
107,sandnessjoen,NO,66.0217,12.6316,53.6,62,40,13.8,1621210807
108,shillong,IN,25.5689,91.8831,69.8,94,90,3.44,1621210807
109,braslav,BY,,,,,,,
110,kodiak,US,57.79,-152.4072,48.2,66,90,5.75,1621210808
111,necochea,AR,-38.5473,-58.7368,52.9,77,38,7.38,1621210808
112,bogorodskoye,RU,56.55,37.8833,53.15,90,12,2.77,1621210809
113,togur,RU,58.3631,82.8265,45.77,91,100,2.8,1621210809
114,jamestown,SH,-15.9387,-5.7168,68.99,66,69,12.64,1621210810
115,pangody,RU,65.85,74.4859,37.47,55,84,10.11,1621210870
116,pangoa,PE,-12.1167,-73,71.24,89,81,1.74,1621210870
117,lagoa,PT,39.05,-27.9833,61.95,91,100,11.1,1621210871
118,provost,CA,52.3501,-110.2683,77,22,95,4.61,1621210871
119,mataura,PF,,,,,,,
120,broken hill,AU,-31.95,141.4333,51.8,71,90,7.85,1621210872
121,luderitz,NA,-26.6481,15.1594,60.69,74,22,10.11,1621210872
122,san quintin,MX,30.4833,-115.95,62.47,66,0,17.56,1621210873
123,kahului,US,20.8947,-156.47,82.4,47,40,23.02,1621210873
124,kuytun,CN,,,,,,,
125,wattegama,LK,6.7989,81.4808,76.23,88,66,2.1,1621210874
126,venado tuerto,AR,-33.7456,-61.9688,55,99,18,3,1621210874
127,sechura,PE,-5.5569,-80.8222,72.95,68,65,14.14,1621210875
128,nyurba,RU,63.2842,118.3319,31.89,44,100,9.82,1621210875
129,atuona,PF,-9.8,-139.0333,79.39,67,9,14.16,1621210720
130,jalu,LY,29.0331,21.5482,67.57,54,4,12.77,1621210876
131,ucluelet,CA,48.9329,-125.5528,55.4,82,20,14.97,1621210876
132,okha,RU,53.5739,142.9478,34.81,82,100,18.7,1621210877
133,nuqui,CO,5.7125,-77.2708,77.88,86,100,0.31,1621210877
134,lorengau,PG,-2.0226,147.2712,86.05,70,100,12.01,1621210878
135,new norfolk,AU,-42.7826,147.0587,52,73,73,3,1621210878
136,sobolevo,RU,54.4299,31.8996,52.57,91,89,6.22,1621210878
137,katherine,AU,-14.4667,132.2667,73.4,28,0,12.66,1621210879
138,bluff,NZ,-46.6,168.3333,48.72,76,90,16.87,1621210879
139,emerald,AU,-23.5333,148.1667,63,29,0,17.27,1621210880
140,pierre,US,44.3683,-100.351,69.8,49,20,16.11,1621210880
141,coihaique,CL,-45.5752,-72.0662,37.4,100,0,3.44,1621210881
142,samarai,PG,-10.6167,150.6667,83.08,79,58,9.42,1621210881
143,beringovskiy,RU,63.05,179.3167,32.68,92,100,2.21,1621210881
144,tautira,PF,-17.7333,-149.15,84.2,61,75,4.61,1621210882
145,vaitupu,WF,,,,,,,
146,nome,US,64.5011,-165.4064,43,75,1,10.36,1621210882
147,santa vitoria do palmar,BR,-33.5189,-53.3681,55.29,66,100,1.92,1621210883
148,ulaangom,MN,49.9811,92.0667,62.71,31,73,2.68,1621210883
149,atambua,ID,-9.1061,124.8925,76.71,65,56,5.01,1621210884
150,zaraza,VE,9.3503,-65.3245,82.13,55,56,7.85,1621210884
151,mount gambier,AU,-37.8333,140.7667,55.4,88,40,8.05,1621210885
152,springbok,ZA,-29.6643,17.8865,46.85,89,1,3.38,1621210885
153,dvinskoy,RU,62.1535,45.1175,54.72,95,84,6.58,1621210869
154,riyadh,SA,24.6877,46.7219,87.8,15,0,7.2,1621210749
155,airai,PW,,,,,,,
156,bubaque,GW,11.2833,-15.8333,78.06,79,88,5.08,1621210886
157,lazaro cardenas,MX,17.9583,-102.2,84.83,64,1,10.98,1621210887
158,kahuta,PK,33.5913,73.3868,73,51,33,1.01,1621210887
159,gat,LY,,,,,,,
160,kimbe,PG,-5.5502,150.1429,88.65,61,94,3.2,1621210877
161,umzimvubu,ZA,,,,,,,
162,borama,SO,,,,,,,
163,port blair,IN,11.6667,92.75,83.57,76,57,3.04,1621210888
164,komsomolskiy,RU,43.9783,46.6985,69.21,39,1,20.8,1621210889
165,illoqqortoormiut,GL,,,,,,,
166,safaga,EG,26.7292,33.9365,80.6,14,0,2.28,1621210889
167,kavaratti,IN,10.5669,72.642,83.52,77,100,19.39,1621210890
168,castro,CL,-42.4721,-73.7732,46.99,93,0,1.14,1621210890
169,marsa matruh,EG,31.3525,27.2453,68,77,40,17.27,1621210891
170,raudeberg,NO,61.9875,5.1352,44.01,89,100,10.83,1621210891
171,vestmannaeyjar,IS,63.4427,-20.2734,39.88,71,100,2.93,1621210891
172,gaoual,GN,11.75,-13.2,82.6,60,100,3.13,1621210892
173,ostersund,SE,63.1792,14.6357,45,100,75,6.91,1621210952
174,salekhard,RU,66.53,66.6019,29.91,71,99,12.73,1621210953
175,constitucion,MX,23.9912,-104.6749,86,6,20,8.05,1621210953
176,grimari,CF,,,,,,,
177,hasaki,JP,35.7333,140.8333,75.2,88,75,19.57,1621210954
178,vila franca do campo,PT,37.7167,-25.4333,64.4,100,75,9.22,1621210954
179,geraldton,AU,-28.7667,114.6,66.2,52,26,10.36,1621210955
180,ishigaki,JP,24.3448,124.1572,84.2,89,20,16.11,1621210955
181,norman wells,CA,65.282,-126.8329,50,46,75,6.91,1621210955
182,scalloway,GB,,,,,,,
183,saldanha,ZA,-33.0117,17.9442,46.4,87,4,4.92,1621210956
184,moctezuma,MX,29.8,-109.6667,88.7,10,0,20.87,1621210957
185,huallanca,PE,-9.8993,-76.9417,44.04,87,78,1.16,1621210957
186,mys shmidta,RU,,,,,,,
187,te anau,NZ,-45.4167,167.7167,43.05,95,83,6.38,1621210958
188,amparai,LK,,,,,,,
189,shimoda,JP,34.6667,138.95,72,100,75,24.16,1621210958
190,gawler,AU,-34.6,138.7333,60.01,58,73,3,1621210959
191,bathsheba,BB,13.2167,-59.5167,80.6,65,40,18.41,1621210959
192,berbera,SO,10.4396,45.0143,89.56,42,15,1.92,1621210960
193,qaqortoq,GL,60.7167,-46.0333,44.6,45,86,9.22,1621210960
194,talnakh,RU,69.4865,88.3972,19.22,94,100,4.47,1621210960
195,mae hong son,TH,19.3003,97.9685,78.8,83,20,0.69,1621210961
196,nushki,PK,29.5542,66.0215,74.05,22,3,1.92,1621210881
197,tilichiki,RU,60.4667,166.1,32.92,88,100,8.12,1621210961
198,mackay,AU,-21.15,149.2,71.6,56,90,12.66,1621210962
199,boiro,ES,42.65,-8.9,51.01,93,58,1.59,1621210962
200,barrow,US,71.2906,-156.7887,26.6,80,90,13.8,1621210963
201,mahajanga,MG,-15.7167,46.3167,69.8,78,20,4.61,1621210963
202,morelia,CO,1.4875,-75.7258,73.29,97,67,1.63,1621210964
203,ulladulla,AU,-35.35,150.4667,59,47,20,14.97,1621210964
204,kununurra,AU,-15.7667,128.7333,75.2,29,1,16.11,1621210964
205,bafoulabe,ML,13.8065,-10.8321,99.39,22,89,3.11,1621210965
206,ambilobe,MG,-13.2,49.05,68.36,85,5,3.56,1621210965
207,quatre cocos,MU,-20.2078,57.7625,77,73,75,13.8,1621210966
208,paamiut,GL,61.994,-49.6678,37.18,87,47,10.49,1621210966
209,kamenskoye,RU,,,,,,,
210,opobo,NG,,,,,,,
211,shache,CN,38.4167,77.2406,58.08,46,77,2.8,1621210967
212,tiznit,MA,29.5833,-9.5,70.02,53,0,0.85,1621210967
213,prince rupert,CA,54.3161,-130.3201,50,71,1,6.91,1621210857
214,loreto,MX,22.2667,-101.9667,79.77,17,7,4.99,1621210968
215,dakar,SN,14.6937,-17.4441,69.8,94,40,4.61,1621210804
216,galiwinku,AU,,,,,,,
217,souillac,MU,-20.5167,57.5167,77,73,75,13.8,1621210969
218,saskylakh,RU,71.9167,114.0833,20.61,94,100,16.98,1621210969
219,yellowknife,CA,62.456,-114.3525,39.99,60,75,5.75,1621210970
220,chokurdakh,RU,70.6333,147.9167,31.62,86,76,12.71,1621210970
221,montlucon,FR,46.3333,2.6,48.99,88,24,1.99,1621210970
222,narsaq,GL,60.9167,-46.05,44.6,45,86,9.22,1621210971
223,qaanaaq,GL,77.484,-69.3632,30.22,95,99,6.67,1621210971
224,georgetown,SH,-7.9333,-14.4167,78.94,68,51,18.05,1621210972
225,port elizabeth,ZA,-33.918,25.5701,55.4,62,0,10.36,1621210782
226,soyo,AO,-6.1349,12.3689,79.12,87,37,7.72,1621210972
227,mount isa,AU,-20.7333,139.5,66.2,22,0,13.8,1621210973
228,santiago del estero,AR,-27.7951,-64.2615,69.53,67,26,4.09,1621210973
229,tessalit,ML,20.1986,1.0114,95.59,14,71,10.11,1621210974
230,porto empedocle,IT,37.2934,13.5264,59,50,0,1.01,1621211034
231,san patricio,MX,19.2167,-104.7,86,74,1,23.02,1621211034
232,sambava,MG,-14.2667,50.1667,72.66,77,6,9.71,1621211035
233,cidreira,BR,-30.1811,-50.2056,63.18,86,86,5.46,1621211035
234,bonfim,BR,3.0833,-59.95,74.23,92,83,1.28,1621211036
235,hobart,AU,-42.8794,147.3294,53.01,50,40,6.91,1621210826
236,beira,MZ,-19.8436,34.8389,71.6,94,20,6.69,1621211036
237,jiangyou,CN,31.7667,104.7167,65.28,68,100,4.16,1621211037
238,linhares,BR,-19.3911,-40.0722,66.07,86,51,1.63,1621210784
239,havelock,US,34.8791,-76.9013,68,67,27,5.06,1621211037
240,khani,RU,,,,,,,
241,ponta do sol,CV,17.1994,-25.0919,71.6,78,40,11.5,1621211038
242,walvis bay,NA,-22.9575,14.5053,55.4,82,67,5.75,1621211038
243,hofn,IS,64.2539,-15.2082,38.95,63,100,16.08,1621211039
244,zaysan,KZ,47.4667,84.8667,59.72,50,1,10.51,1621211039
245,nara,ML,15.1713,-7.2889,92.62,24,77,2.1,1621211040
246,borujerd,IR,33.8973,48.7516,56.66,62,19,2.35,1621211040
247,oistins,BB,13.0667,-59.5333,80.6,65,40,18.41,1621211040
248,bandarbeyla,SO,9.4942,50.8122,86.14,66,71,17.9,1621211041
249,shieli,KZ,44.1667,66.75,67.64,26,0,11.1,1621211041
250,zhuanghe,CN,39.7008,122.9911,67.48,34,99,7.34,1621211042
251,prainha,BR,-1.8,-53.48,74.68,94,71,3.2,1621211042
252,coos bay,US,43.3665,-124.2179,55,87,90,17.27,1621211043
253,xining,CN,36.6167,101.7667,45.25,70,76,1.77,1621211043
254,bilibino,RU,68.0546,166.4372,32.85,89,85,3.09,1621211043
255,lebu,CL,-37.6167,-73.65,53.94,76,100,6.46,1621211044
256,mananara,MG,-16.1667,49.7667,73.63,75,73,4.54,1621211044
257,birjand,IR,32.8663,59.2211,60.8,17,0,9.22,1621211045
258,mendahara,ID,,,,,,,
259,tuatapere,NZ,-46.1333,167.6833,47.52,84,90,8.05,1621211045
260,waipawa,NZ,-41.4122,175.5153,59,88,75,5.75,1621211046
261,tiksi,RU,71.6872,128.8694,25.84,95,100,5.93,1621211046
262,tumannyy,RU,,,,,,,
263,naze,JP,28.3667,129.4833,78.8,89,75,13.8,1621211047
264,karaul,RU,,,,,,,
265,saint george,BM,32.3817,-64.6781,66.2,68,40,16.11,1621211047
266,grasse,FR,43.6667,6.9167,60.8,77,0,17.27,1621211048
267,barbosa ferraz,BR,-24.03,-52.0117,69.8,64,0,8.05,1621211048
268,thinadhoo,MV,0.5333,72.9333,83.98,74,69,11.21,1621211049
269,carlsbad,US,33.1581,-117.3506,64.99,67,90,10.36,1621211049
270,katobu,ID,-4.9408,122.5276,80.91,79,80,5.68,1621211050
271,northam,AU,-31.6667,116.6667,70,40,0,9.22,1621211050
272,pacific grove,US,36.6177,-121.9166,57,89,58,9.51,1621211050
273,tabarqah,TN,,,,,,,
274,vostok,RU,46.4856,135.8833,61.68,43,54,5.06,1621211051
275,nouadhibou,MR,20.931,-17.0347,66.2,88,100,13.8,1621211051
276,henties bay,NA,-22.116,14.2845,61.47,87,91,8.32,1621211052
277,viedma,AR,-40.8135,-62.9967,49.98,79,0,6.02,1621211052
278,saint anthony,CA,,,,,,,
279,sitka,US,57.0531,-135.33,46.4,71,75,10.36,1621211053
280,jiayuguan,CN,39.8167,98.3,60.67,25,86,2.68,1621211052
281,hihifo,TO,,,,,,,
282,ibotirama,BR,-12.1853,-43.2206,73.99,41,100,3.49,1621211054
283,saint-pierre,PM,46.7654,-56.1695,41.4,80,22,9.84,1621210771
284,belmonte,BR,-15.8631,-38.8828,71.6,78,20,3.44,1621211054
285,gainesville,US,29.6516,-82.3248,73.99,56,1,9.22,1621211001
286,sabha,LY,27.0377,14.4283,77.38,16,44,10.38,1621211055
287,saint augustine,US,29.8947,-81.3145,71.6,73,1,12.66,1621210971
288,samusu,WS,,,,,,,
289,bud,NO,62.9088,6.9145,48.2,93,75,14.14,1621211116
290,sibu,MY,2.3,111.8167,78.8,89,20,4.61,1621210825
291,shinpokh,PK,34.3292,71.1782,69.8,60,20,6.91,1621211117
292,lujan,AR,-34.5703,-59.105,48.99,95,66,0.96,1621211117
293,flin flon,CA,54.7682,-101.865,53.6,40,75,10.36,1621211117
294,umba,RU,66.6871,34.3429,42.1,83,100,3.6,1621211118
295,port lincoln,AU,-34.7333,135.8667,59.54,57,100,2.66,1621211118
